,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year
0,TheCollegeFever,Brand Marketing,Seed,250000,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018
1,Happy Cow Dairy,Agriculture,Seed,584699,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018
2,MyLoanCare,Credit,Series A,950135,Gurgaon,Leading Online Loans Marketplace in India,2018
3,PayMe India,Financial Services,Angel,2000000,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018
4,Eunimart,E-Commerce Platforms,Seed,0,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018
5,Hasura,Cloud Infrastructure,Seed,1600000,Bengaluru,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018
6,Tripshelf,Internet,Seed,233879,Kalkaji,Tripshelf is an online market place for holiday packages.,2018
7,Hyperdata.IO,Market Research,Angel,730873,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,2018
8,Freightwalla,Information Services,Seed,0,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018
9,Microchip Payments,Mobile Payments,Seed,0,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,2018
10,BizCrum Infotech Pvt. Ltd.,B2B,Seed,0,Delhi,Building Transactionary B2B Marketplaces,2018
11,Emojifi,Internet,Seed,0,Bengaluru,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018
12,Flock,Apps,Seed,0,India,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018
13,Freshboxx,Food Delivery,Seed,0,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018
14,Wide Mobility Mechatronics,Industrial Automation,Seed,0,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares,2018
15,Pitstop,Automotive,Seed,1461747,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018
16,Mihuru,Finance,Seed,150000,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,2018
17,Fyle,Accounting,Seed,1100000,Bengaluru,Fyle is an intelligent expense management platform for enterprises.,2018
