,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Founded,Founders,Investor
0,TheCollegeFever,marketing,seed,250000.0,bengaluru,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018,,,
1,Happy Cow Dairy,agriculture,seed,584699.0,mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018,,,
2,MyLoanCare,finance,series a,950135.0,gurgaon,Leading Online Loans Marketplace in India,2018,,,
3,PayMe India,financial services,angel,2000000.0,noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018,,,
4,Eunimart,e-commerce platforms,seed,948512359.4238179,hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018,,,
5,Hasura,cloud infrastructure,seed,1600000.0,bengaluru,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018,,,
6,Tripshelf,information technology,seed,233879.0,kalkaji,Tripshelf is an online market place for holiday packages.,2018,,,
7,Hyperdata.IO,marketing,angel,730873.0,hyderabad,Hyperdata combines advanced machine learning with human intelligence.,2018,,,
8,Freightwalla,tech,seed,948512359.4238179,mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018,,,
9,Microchip Payments,mobile payments,seed,948512359.4238179,bengaluru,Microchip payments is a mobile-based payment application and point-of-sale device,2018,,,
10,BizCrum Infotech Pvt. Ltd.,b2b,seed,948512359.4238179,delhi,Building Transactionary B2B Marketplaces,2018,,,
11,Emojifi,information technology,seed,948512359.4238179,bengaluru,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018,,,
12,Flock,tech,seed,948512359.4238179,india,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018,,,
13,Freshboxx,delivery,seed,948512359.4238179,hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018,,,
14,Wide Mobility Mechatronics,industrial automation,seed,948512359.4238179,bengaluru,Wide Mobility Mechatronics is a Private Company limited by Shares,2018,,,
15,Pitstop,automotive,seed,1461747.0,bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018,,,
16,Mihuru,finance,seed,150000.0,mumbai,Mihuru is an online platform which gives micro loans for air travel .,2018,,,
17,Fyle,finance,seed,1100000.0,bengaluru,Fyle is an intelligent expense management platform for enterprises.,2018,,,
18,AppWharf,ai,seed,948512359.4238179,new delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018,,,
19,Antariksh Waste Ventures Pvt ltd,iot,seed,7309.0,chennai,Waste Management for Smart Cities,2018,,,
20,Cogoport,air transportation,series a,6000000.0,mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018,,,
21,PaisaDukan,financial services,seed,650000.0,mumbai,A P2P lending marketplace platform,2018,,,
22,Sleepy Owl Coffee,food & beverages,seed,511611.0,new delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018,,,
23,BlueJack,autonomous vehicles,seed,935518.0,delhi,Delhi-based online used vehicles marketplace.,2018,,,
24,PregBuddy,enterprise software,seed,948512359.4238179,bengaluru,PregBuddy is a smart connected care platform for expecting mothers.,2018,,,
25,AgNext Technologies,agriculture,series a,948512359.4238179,mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018,,,
26,Pando,logistics,seed,2000000.0,chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2018,,,
27,Mintifi,financial services,seed,2000000.0,mumbai,Online lending startup based in Mumbai.,2018,,,
28,Carcrew,automotive,seed,2000000.0,mumbai,India's Online Auto Repair Marketplace,2018,,,
29,NicheAI,ai,angel,948512359.4238179,hyderabad,Early stage Artificial Intelligence (AI) start up.,2018,,,
30,Chariot Tech,iot,seed,292349.0,new delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018,,,
31,Ideal Insurance Brokers/ 121Policy.com,finance,seed,1000000.0,kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018,,,
32,Loanzen,financial services,seed,948512359.4238179,bengaluru,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2018,,,
33,Mojro Technologies,information technology,seed,650000.0,bengaluru,Mojro envisions to be the world's largest technology-enabled logistics platform.,2018,,,
34,Elemential,blockchain,seed,1000000.0,mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018,,,
35,Loadshare,industrial automation,series a,5000000.0,bengaluru,LoadShare is India’s fastest growing logistics company,2018,,,
36,Yumlane,food & beverages,series a,4000000.0,mumbai,Food startup Yumlane operated by QwikPik Technology,2018,,,
37,Kriger Campus,education,seed,438524.0,new delhi,A Education Start Up.,2018,,,
38,Pipa+Bella,e-commerce,series a,1000000.0,mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018,,,
39,Kaleidofin,financial services,seed,2800000.0,chennai,A fintech platform.,2018,,,
40,Chakr Innovation,renewable energy,seed,948512359.4238179,new delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2018,,,
41,IndigoLearn,e-learning,seed,150000.0,hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,2018,,,
42,UClean,clean energy,seed,584699.0,india,UClean is a tech enabled laundry service provider.,2018,,,
43,Coutloot,e-commerce,seed,1000000.0,mumbai,The Fashion Re-commerce platform.,2018,,,
44,Letstrack,tech,seed,1700000.0,new delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018,,,
45,Pooltoo,transportation,seed,948512359.4238179,new delhi,Pooltoo offers a premium ride sharing platform.,2018,,,
46,Finzy,financial services,seed,1300000.0,bengaluru,finzy is the premier peer to peer lending solution in India.,2018,,,
47,Fitternity,healthcare,seed,2000000.0,mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018,,,
48,Keito,ai,seed,948512359.4238179,pune,Building an Intelligent Digital Assistant.,2018,,,
49,Tolet for Students,hospitality,seed,73087.0,jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018,,,
50,Chai Kings,food & beverages,seed,292349.0,chennai,Chai Kings is a tea retail chain,2018,,,
51,Dainik Jagran,media and entertainment,seed,584699.0,kanpur,Dainik Jagran is a media and communications group.,2018,,,
52,Playtoome,broadcasting,seed,292349.0,bengaluru,Playtoome is a live entertainment destination,2018,,,
53,ONGO Framework,b2b,angel,1000000.0,hyderabad,ONGO Framework is a B2B IT and digital solution provider.,2018,,,
54,Notesgen,edtech,seed,182718.0,new delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018,,,
55,Arogya MedTech,healthcare,seed,219262.0,kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018,,,
56,Propshop24,e-commerce,seed,500000.0,mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018,,,
57,myUpchar,healthcare,series a,5000000.0,new delhi,To bring health issues to people in their language.,2018,,,
58,MissMalini Entertainment,fintech,seed,1520217.0,mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018,,,
59,Rooter,sports,seed,657786.0,india,Rooter is a mobile-based platform,2018,,,
60,ZestMoney,information technology,series a,13400000.0,bengaluru,Zest is India's first completely automated consumer digital lending platform.,2018,,,
61,alphaics Corporation,information technology,seed,948512359.4238179,bengaluru,Advancing AI compute,2018,,,
62,MyDentistChoice,healthcare,seed,500000.0,hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018,,,
63,Sattviko,food processing,angel,948512359.4238179,new delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018,,,
64,Sensibull,trading platform,seed,365437.0,bengaluru,Investment Management Platform,2018,,,
65,Bombay Shaving Company,consumer goods,series a,948512359.4238179,new delhi,Bombay Shaving Company is a Men's grooming startup,2018,,,
66,MedCords,wellness,seed,385901.0,pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018,,,
67,University Living,education,seed,948512359.4238179,new delhi,University Living is an online global student housing marketplace.,2018,,,
68,&ME,food & beverages,seed,948512359.4238179,bengaluru,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018,,,
69,Enakshi,fashion,seed,116940.0,ahmedabad,Enakshi is an online apparel brand for women.,2018,,,
70,Ultraviolette Automotive,automotive,series a,877.0,bengaluru,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018,,,
71,Inthree Access,consulting,series a,4000000.0,chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018,,,
72,BUGWORKS Research India,biotech,series a,9000000.0,bengaluru,BUGWORKS is a drug discovery company.,2018,,,
73,Guardian.in,healthcare,seed,948512359.4238179,mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018,,,
74,PrestLoans,finance,seed,100000.0,new delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018,,,
75,Wimoxez,information technology,seed,20000.0,hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018,,,
